servico_tabela_atual,grupo_servico,atividade_ART_equivalente,modalidade_ART,formacao_ART,tipo_correspondencia,confiabilidade,usar_para_calculo,motivo,observacao
Consultoria (BTN/HORA/MES por faixa de horas),1-Consultoria,Informacao insuficiente para verificar,OBRA/SERVICO,Informacao insuficiente para verificar,servico da tabela sem evidencia nas ARTs,baixa,nao,"Tabela cobra por hora/mes; ARTs nao trazem unidade hora consolidada para consultoria generica","Unidade incompativel (hora vs m2/unidade); sem base de calculo"
Fiscalizacao (BTN/m2 por natureza),3-Fiscalizacao,Informacao insuficiente para verificar,OBRA/SERVICO,Engenheiro Civil,ambiguo,baixa,somente exploratorio,"Fiscalizacao pode aparecer como Vistoria/Laudo nas ARTs, mas o vinculo direto a aba Fiscalizacao por m2 nao e verificavel","Exemplo verificado: ART 2399866 (Laudo e Vistoria) tem valor unico replicado, Classe C"
Projeto de Engenharia Estrada/Ruas (BTN/Km),5-Projeto de Engenharia Estrada/Ruas,PAVIMENTACAO,OBRA/SERVICO,Engenheiro Civil,correspondencia aproximada,baixa,somente frequencia,"Pavimentacao relaciona-se a estradas/ruas, mas tabela cobra por Km e ART nao traz Km consolidado","Unidade Km da tabela ausente nas ARTs; nao calcular valor"
Calculo Estrutural-2 (BTN/m3; piscinas/reservatorios),6-Calculo Estrutural,Informacao insuficiente para verificar,OBRA/SERVICO,Engenheiro Civil,ambiguo,baixa,somente exploratorio,"Reservatorios/piscinas por m3 nao aparecem destacados no vocabulario de atividades das ARTs","Unidade m3 da tabela ausente; sem evidencia especifica"
Geologia e Minas (R$ fixo),12-Geologia e Minas,Atividade de modalidade Geologo/Minas,OBRA/SERVICO,Geologo,ambiguo,baixa,somente frequencia,"Existem modalidades Geologo (5.932 reg, mediana R$ 3.000) e Minas (5.949, mediana R$ 2.000), mas o codigo de atividade especifico nao foi mapeado","Volume baixo; risco de supressao n<5 por servico raro"
Microgeracao Fotovoltaica / Solar (NAO esta na tabela),Servico novo (sem aba),SISTEMA DE MICROGERACAO / MICROGERACAO FOTOVOLTAICA,OBRA/SERVICO,Engenheiro Eletricista,servico novo nas ARTs,media,somente frequencia,"Servico de alto volume nas ARTs (kWp) sem qualquer correspondencia na tabela 2024","Unidade kWp ausente na tabela; candidato prioritario a nova familia de servico"
Geracao de Energia (NAO esta na tabela),Servico novo (sem aba),SISTEMA DE GERACAO DE ENERGIA,OBRA/SERVICO,Engenheiro Eletricista,servico novo nas ARTs,media,somente frequencia,"Geracao de energia em kW/kVA sem aba correspondente na tabela atual","Unidades kW (mediana R$ 1.500) e kVA (mediana R$ 5.000) ausentes na tabela"
Receituario Agronomico (NAO esta na tabela),Servico novo (sem aba),ESPECIFICACAO - RECEITUARIO AGRONOMICO,RECEITUARIO AGRONOMICO,Engenheiro Agronomo,servico novo nas ARTs,media,somente frequencia,"Maior atividade isolada das ARTs (60.378 linhas), 93,9% precificavel, sem aba na tabela civil/estrutural","Modalidade Agronomo (mediana R$ 186,55); alto volume, baixo valor unitario"
Automacao e Controle (NAO esta na tabela),Servico novo (sem aba),Atividade de modalidade Controle/Automacao,OBRA/SERVICO,Engenheiro de Controle e Automacao,servico novo nas ARTs,baixa,somente frequencia,"Modalidade Controle/Automacao (5.729 reg, mediana R$ 5.000) sem aba correspondente","Volume moderado; servico moderno ausente na tabela"
Engenharia Ambiental / Licenciamento (NAO esta na tabela),Servico novo (sem aba),Atividade de modalidade Ambiental,OBRA/SERVICO,Engenheiro Ambiental,servico novo nas ARTs,baixa,somente frequencia,"Modalidade Ambiental (35.828 reg, mediana R$ 2.470) sem aba; tabela nao contempla meio ambiente/licenciamento","Servico moderno relevante em volume; sem parametro na tabela"
Agrimensura / Georreferenciamento (NAO esta na tabela),Servico novo (sem aba),Atividade de modalidade Agrimensor,OBRA/SERVICO,Engenheiro Agrimensor,servico novo nas ARTs,baixa,somente frequencia,"Modalidade Agrimensor (9.092 reg, mediana R$ 2.000) sem correspondencia na tabela","Georreferenciamento por hectare ausente na tabela"
Seguranca do Trabalho (NAO esta na tabela),Servico novo (sem aba),Atividade de modalidade Seguranca do Trabalho,OBRA/SERVICO,Engenheiro de Seguranca do Trabalho,servico novo nas ARTs,baixa,somente frequencia,"Modalidade Seguranca do Trabalho (49.443 reg, mediana R$ 500) sem aba na tabela","Alto volume de registros; servico ausente na tabela atual"
Instalacoes Hidraulicas e Mecanicas (BTN/m2),10-Instalacoes Hidraulicas e Mecanicas,Atividade de modalidade Eng. Mecanico,OBRA/SERVICO,Engenheiro Mecanico,ambiguo,baixa,somente exploratorio,"Modalidade Mecanico (24.762 reg, mediana R$ 1.200) pode tangenciar instalacoes mecanicas, mas codigo especifico nao mapeado","Vinculo incerto; nao calcular valor"
Projetos Civis (BTN/m2),4-Projetos Civis,Execucao de Obra Tecnica - ESTRUTURA DE CONCRETO,OBRA/SERVICO,Engenheiro Civil,correspondencia aproximada,baixa,somente frequencia,"Execucao de estrutura de concreto tangencia projeto civil, mas e execucao e nao projeto","Risco de Classe C (escopo composto, valor replicado); preferir Classe A"
"Multipla Mensal (tipo de ART, NAO e servico da tabela)",Sem aba (tipo de ART),MULTIPLA MENSAL,MULTIPLA MENSAL,Informacao insuficiente para verificar,ambiguo,baixa,somente exploratorio,"tipo_art MULTIPLA MENSAL (21.851 linhas, 62,8% precificavel) agrega varios servicos; nao mapeavel a um servico unico da tabela","Nao usar para calculo por servico; util so para deteccao de volume"
"Cargo-Funcao (tipo de ART, NAO e servico da tabela)",Sem aba (tipo de ART),CARGO-FUNCAO,CARGO-FUNCAO,Informacao insuficiente para verificar,servico da tabela sem evidencia nas ARTs,baixa,nao,"tipo_art CARGO-FUNCAO (4.093 linhas) refere-se a vinculo profissional, nao a servico precificavel pela tabela","Excluir do calculo de honorarios por servico"
Qualquer servico raro da tabela (frequencia baixa),Variavel,Informacao insuficiente para verificar,Informacao insuficiente para verificar,Informacao insuficiente para verificar,Informacao insuficiente para verificar,baixa,nao,"Para servicos com poucos registros (n<5) aplica-se supressao; nao ha base estatistica para calculo","Regra de supressao Classe A; marcar como informacao insuficiente"
